10,10,57
40,40,40
50,50,58
60,60,45
80,80,59
90,90,59
100,100,34
110,110,40
120,120,34
140,140,40
150,150,58
160,160,50
170,170,56
180,180,35
220,220,43
230,230,40
240,240,59
250,250,43
270,270,57
300,300,35
420,420,56
430,430,35
480,480,33
550,550,35
610,610,34
630,630,34
650,650,34
660,660,35
670,670,35
790,790,36
840,840,37
910,910,35
1610,1610,56
1650,1650,57
1660,1660,57
1680,1680,57
1700,1700,58
1770,1770,57
1800,1800,57
3330,3330,56
3530,3530,58
4060,4060,57
4100,4100,57
4110,4110,57
5180,5180,58
5190,5190,58
5230,5230,58
5240,5240,58
5270,5270,58
5280,5280,58
5340,5340,58
5350,5350,58
5410,5410,58
5650,5650,58
11990,11990,58
12000,12000,58
15050,15050,56
15110,15110,34
15120,15120,40
15160,15160,57
17560,17560,57
17680,17680,58
19860,19860,64
24730,24730,57
24830,24830,56
24880,24880,56
24910,24910,56
24950,24950,56
24980,24980,56
25100,25100,56
25140,25140,56
25160,25160,56
25180,25180,56
25260,25260,56
25330,25330,56
25360,25360,56
25380,25380,57
25550,25550,57
25570,25570,56
25750,25750,59
25860,25860,59
27620,27620,58
28190,28190,60
31550,31550,58
33830,33830,58
33920,33920,58
34230,34230,57
34250,34250,57
34340,34340,58
34370,34370,58
34380,34380,58
34390,34390,58
34400,34400,58
34520,34520,58
34920,34920,58
35000,35000,58
35010,35010,58
35060,35060,58
35170,35170,58
35190,35190,58
35410,35410,58
35520,35520,58
35530,35530,58
35670,35670,58
35680,35680,58
35720,35720,58
36070,36070,58
36170,36170,58
36180,36180,58
36190,36190,58
36280,36280,58
36290,36290,58
36730,36730,58
36740,36740,58
36790,36790,58
36810,36810,58
47510,47510,57
49500,49500,58
49620,49620,64
57540,57540,56
58880,58880,57
59310,59310,39
59380,59380,40
59430,59430,40
62470,62470,42
63280,63280,40
67820,67820,58
67850,67850,58
67900,67900,58
67910,67910,58
67920,67920,58
68550,68550,58
68610,68610,58
68660,68660,58
68740,68740,58
68750,68750,58
68780,68780,58
68850,68850,58
68940,68940,58
68990,68990,58
69000,69000,58
69030,69030,58
69100,69100,58
69500,69500,64
69560,69560,64
69570,69570,64
69580,69580,64
69600,69600,64
69620,69620,64
69630,69630,64
69650,69650,64
69660,69660,64
69690,69690,64
69700,69700,64
69710,69710,64
69740,69740,64
69790,69790,64
69810,69810,64
69840,69840,64
69910,69910,64
71350,71350,56
71370,71370,40
72160,72160,44
72210,72210,44
72220,72220,44
72600,72600,58
73960,73960,56
77190,77190,64
77200,77200,64
77210,77210,64
77220,77220,64
77230,77230,64
77240,77240,64
77250,77250,64
77290,77290,64
78050,78050,56
79330,79330,58
79350,79350,58
79460,79460,58
79550,79550,58
79560,79560,58
82810,82810,57
82900,82900,56
82980,82980,63
83020,83020,64
83330,83330,43
83360,83360,43
83520,83520,43
83530,83530,43
83550,83550,58
84960,84960,57
87360,87360,64
87490,87490,64
87520,87520,58
87570,87570,56
89320,89320,64
89980,89980,57
90000,90000,57
90020,90020,57
91660,91660,61
91710,91710,61
91800,91800,61
91820,91820,61
91860,91860,61
92390,92390,64
92630,92630,57
93480,93480,56
96590,96590,57
97210,97210,62
97250,97250,62
98990,98990,64
99070,99070,64
99140,99140,64
100520,100520,59
100780,100780,60
100830,100830,59
100840,100840,59
100870,100870,59
100890,100890,59
100900,100900,59
100910,100910,46
100920,100920,59
100930,100930,59
100950,100950,59
100960,100960,46
100990,100990,59
101010,101010,59
101160,101160,63
102610,102610,56
106630,106630,56
106690,106690,40
106770,106770,56
106800,106800,40
107010,107010,56
107150,107150,56
107190,107190,40
108870,108870,58
108930,108930,58
108970,108970,58
109020,109020,64
109040,109040,58
109050,109050,58
109060,109060,58
109080,109080,58
109170,109170,58
109210,109210,58
109230,109230,58
109270,109270,58
109330,109330,43
109620,109620,58
110090,110090,58
110600,110600,64
110820,110820,57
110830,110830,57
110900,110900,57
110910,110910,40
110940,110940,57
110960,110960,57
110980,110980,57
110990,110990,57
111000,111000,57
111010,111010,34
111020,111020,57
111030,111030,57
111040,111040,57
111050,111050,57
111060,111060,56
111090,111090,57
111110,111110,57
111120,111120,56
111150,111150,57
111160,111160,57
111170,111170,62
111200,111200,63
111240,111240,57
111250,111250,56
111260,111260,57
111280,111280,57
111290,111290,57
111310,111310,57
111360,111360,57
111370,111370,57
111380,111380,57
111390,111390,57
111430,111430,57
111460,111460,57
111470,111470,56
111500,111500,57
111520,111520,57
111570,111570,55
111600,111600,57
111640,111640,57
111660,111660,47
111680,111680,57
111690,111690,57
111710,111710,48
111730,111730,57
111740,111740,48
111810,111810,57
111830,111830,57
111840,111840,57
111850,111850,57
111860,111860,56
111870,111870,56
111900,111900,57
111910,111910,57
111930,111930,57
111940,111940,56
111960,111960,62
111970,111970,57
111980,111980,57
112950,112950,43
112960,112960,43
113350,113350,64
113380,113380,64
113400,113400,64
113430,113430,64
113500,113500,64
113510,113510,64
113520,113520,64
113540,113540,64
113560,113560,64
113570,113570,64
113620,113620,64
113660,113660,64
113680,113680,64
113790,113790,64
113810,113810,43
113850,113850,43
113870,113870,43
113970,113970,58
114030,114030,43
114040,114040,43
114070,114070,58
115660,115660,56
115690,115690,56
115790,115790,56
115880,115880,56
115890,115890,56
115930,115930,34
115970,115970,56
115980,115980,56
116840,116840,58
116970,116970,58
117020,117020,58
117150,117150,58
117240,117240,58
117260,117260,58
117270,117270,58
117320,117320,58
117330,117330,58
117340,117340,58
117440,117440,58
117500,117500,58
117530,117530,58
117590,117590,58
117880,117880,58
117890,117890,58
118020,118020,58
118040,118040,58
118080,118080,58
118160,118160,58
118330,118330,58
118380,118380,58
118470,118470,58
118610,118610,58
118630,118630,58
118680,118680,58
118690,118690,58
118710,118710,58
118740,118740,58
118770,118770,58
118790,118790,58
118800,118800,58
118830,118830,58
118850,118850,58
118900,118900,58
118980,118980,58
118990,118990,58
119010,119010,58
119160,119160,58
119180,119180,58
122100,122100,34
122170,122170,34
122210,122210,34
122220,122220,34
122370,122370,58
122480,122480,34
122700,122700,57
122860,122860,57
122930,122930,34
122960,122960,34
123000,123000,57
123050,123050,57
123470,123470,58
124350,124350,57
132660,132660,58
136590,136590,57
136700,136700,58
139330,139330,58
139580,139580,58
139590,139590,58
139600,139600,58
139630,139630,58
139640,139640,58
139660,139660,58
140100,140100,56
140130,140130,56
140150,140150,61
141240,141240,60
141430,141430,49
142710,142710,57
145060,145060,59
145070,145070,60
145200,145200,51
145230,145230,56
145260,145260,51
145300,145300,52
145310,145310,57
146170,146170,58
146240,146240,58
146280,146280,58
146290,146290,58
146300,146300,58
146360,146360,58
146390,146390,58
146400,146400,58
146420,146420,58
146450,146450,58
146470,146470,58
146540,146540,58
146560,146560,58
146580,146580,58
146590,146590,58
146600,146600,58
146640,146640,58
146760,146760,58
146790,146790,58
146960,146960,58
146980,146980,58
148710,148710,58
148770,148770,58
148940,148940,58
148970,148970,58
149000,149000,58
149110,149110,58
149150,149150,58
149260,149260,58
900000,900000,43
900010,900010,56
900020,900020,58
900030,900030,56
900050,900050,58
900060,900060,58
900070,900070,58
900080,900080,64
900090,900090,64
900100,900100,57
900110,900110,57
900120,900120,56
900170,900170,58
900180,900180,58
