"ID","POINT_X","POINT_Y","SCIENTIFIC","ADDRESS","PLOTTYPE","PLOTLENGTH","PLOTWIDTH","POWERLINE","OWNER","STEWARD","SPONSOR","DATEPLANTED","DIAMETER","HEIGHT","CANOPYHEIGHT","CONDITION","CANOPYCONDITION"
210,-82.53,35.55,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
211,-82.53,35.55,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
212,-82.53,35.55,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
213,-82.53,35.55,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
214,-82.53,35.55,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
215,-82.53,35.55,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
216,-82.53,35.55,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
217,-82.53,35.55,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
218,-82.53,35.55,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
219,-82.53,35.55,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
220,-82.53,35.55,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
